Year,January_p,February_p,March_p,April_p,May_p,June_p,July_p,August_p,September_p,October_p,November_p,December_p,Total_p
1995.000,2.290,0.870,3.390,0.790,0.350,0.120,0.000,0.000,0.000,0.000,0.002,2.030,9.840
1996.000,1.080,2.540,0.780,0.120,0.020,0.000,0.000,0.000,0.000,0.940,0.840,1.730,8.050
1997.000,1.880,0.800,0.210,0.002,0.002,0.000,0.002,0.002,0.050,0.250,1.700,0.970,5.860
1998.000,1.320,5.360,2.510,0.870,1.330,0.370,0.002,0.002,0.310,0.240,0.460,0.550,13.320
1999.000,3.900,0.460,0.210,0.830,0.002,0.002,0.002,0.002,0.080,0.000,0.360,0.140,5.980
2000.000,0.940,1.620,1.300,0.570,0.080,0.060,0.002,0.002,0.000,0.390,0.002,0.002,4.960
2001.000,1.810,2.030,0.730,0.810,0.002,0.000,0.050,0.000,0.000,0.210,1.080,0.660,7.380
2002.000,0.520,0.260,0.430,0.250,0.130,0.000,0.000,0.000,0.002,0.002,1.300,1.400,4.290
2003.000,0.010,1.500,0.370,1.190,0.160,0.000,0.002,0.040,0.050,0.200,0.320,1.280,5.120
2004.000,0.560,1.630,0.530,0.020,0.000,0.000,0.000,0.000,0.002,1.540,0.180,1.090,5.550
2005.000,2.510,1.520,1.110,0.510,0.740,0.000,0.000,0.010,0.080,0.170,0.230,1.110,7.990
2006.000,0.750,0.300,1.910,1.990,0.300,0.000,0.002,0.000,0.000,0.290,0.020,0.600,6.160
2007.000,0.210,0.990,0.440,0.510,0.002,0.000,0.002,0.000,0.130,0.280,0.060,0.360,2.980
2008.000,0.660,0.820,0.002,0.002,0.080,0.000,0.000,0.000,0.002,0.002,1.060,0.630,3.250
2009.000,0.380,1.710,0.360,0.410,0.350,0.060,0.000,0.000,0.010,0.080,0.100,1.660,5.120
2010.000,1.820,1.770,0.250,1.140,0.270,0.000,0.002,0.000,0.000,0.590,0.840,5.820,12.500
2011.000,0.400,0.490,1.670,0.210,0.230,0.080,0.002,0.002,0.002,0.550,0.760,0.002,4.390
2012.000,0.440,0.290,1.270,1.620,0.000,0.000,0.020,0.002,0.002,0.020,0.100,0.650,4.410
2013.000,0.830,0.600,0.830,0.050,0.050,0.000,0.002,0.000,0.002,0.030,0.940,0.100,3.450
2014.000,0.120,0.320,0.360,0.500,0.040,0.000,0.002,0.002,0.010,0.640,0.010,2.020,4.020
2015.000,0.690,0.900,0.270,0.080,0.680,0.002,0.040,0.000,0.002,0.140,0.610,0.580,3.990
2016.000,1.950,0.180,0.450,0.970,0.550,0.000,0.000,0.000,0.000,0.240,0.380,2.410,7.130
2017.000,2.760,1.460,0.160,0.350,0.060,0.000,0.000,0.002,0.520,0.002,,,5.310
